english,javanese,en_length,jv_length,length_ratio
"Burned but not consumed by fire, doused but not wet.","Diobong ora kobong, disiram ora teles.",10,6,1.6666666666666667
A focused gaze and a determined heart.,Ulat madhep ati mantep.,7,4,1.75
God does not sleep.,Gusti Allah mboten sare.,4,4,1.0
The wheel of the world turns.,Roda donya iku mubeng.,6,4,1.5
"Sometimes on top, sometimes at the bottom.","Kadhang ing ndhuwur, kadhang ing ngisor.",7,6,1.1666666666666667
Don't forget your origins.,Aja lali marang asal-usulmu.,4,4,1.0
Language is the clothing of a nation.,Basa iku busananing bangsa.,7,4,1.75
A person's honor comes from their words.,Ajining dhiri saka lathi.,7,4,1.75
A person's appearance comes from their clothes.,Ajining raga saka busana.,7,4,1.75
Don't be arrogant.,Aja dumeh.,3,2,1.5
Don't be shy to ask.,Aja isin takon.,5,3,1.6666666666666667
Those who are shy to ask will get lost.,Wong sing isin takon bakal kesasar ing dalan.,9,8,1.125
Diligence is the root of intelligence.,Sregep pangkal pinter.,6,3,2.0
Laziness is the root of stupidity.,Kesed pangkal bodho.,6,3,2.0
Thriftiness is the root of wealth.,Hemat pangkal sugih.,6,3,2.0
Wastefulness is the root of poverty.,Boros pangkal mlarat.,6,3,2.0
Time is money.,Wektu iku dhuwit.,3,3,1.0
Don't waste time.,Aja nyia-nyiakake wektu.,3,3,1.0
Use your time wisely.,Gunakake wektumu kanthi becik.,4,4,1.0
Your future depends on what you do now.,Masa depanmu gumantung apa sing kok lakoni saiki.,8,8,1.0
Plan your future.,Rencanakna masa depanmu.,3,3,1.0
Have high aspirations.,Duwea cita-cita sing dhuwur.,3,4,0.75
Strive to achieve your aspirations.,Berjuang kanggo nggayuh cita-cita.,5,4,1.25
Don't forget to pray and work hard.,Aja lali ndedonga lan usaha.,7,5,1.4
Surrender the results to God.,Asile pasrahna marang Gusti.,5,4,1.25
I believe in you.,Aku percaya marang kowe.,4,4,1.0
You can definitely do it.,Kowe mesthi bisa.,5,3,1.6666666666666667
"Don't worry, everything will be fine.","Aja kuwatir, kabeh bakal apik-apik wae.",6,6,1.0
I will always support you.,Aku bakal tansah nyengkuyung kowe.,5,5,1.0
A true friend is there in good times and bad.,Kanca sejati iku ana ing wektu seneng lan susah.,10,9,1.1111111111111112
Choose good friends.,Pilih kanca sing apik.,3,4,0.75
A good friend will bring a good influence.,Kanca sing apik bakal nggawa pengaruh apik.,8,7,1.1428571428571428
Don't get involved in bad deeds.,Aja melu-melu tumindak sing ala.,6,5,1.2
Drugs are dangerous.,Narkoba iku mbebayani.,3,3,1.0
Don't get involved with drugs.,Aja nganti kena narkoba.,5,4,1.25
Alcohol is not good for your health.,Miras iku ora apik kanggo kesehatan.,7,6,1.1666666666666667
Gambling ruins lives.,Judi iku ngrusak urip.,3,4,0.75
Don't like to argue.,Aja seneng padu.,4,3,1.3333333333333333
Solve problems with a cool head.,Rampungna masalah kanthi sirah adhem.,6,5,1.2
Deliberation for consensus.,Musyawarah kanggo mufakat.,3,3,1.0
Respect other people's opinions.,Hargai panemune wong liya.,4,4,1.0
Don't impose your will.,Aja meksakake kersa.,4,3,1.3333333333333333
Differences of opinion are normal.,Beda panemu iku biasa.,5,4,1.25
The important thing is to maintain harmony.,Sing penting tetep njaga kerukunan.,7,5,1.4
Indonesia is a country rich in culture.,Indonesia iku negara sing sugih budaya.,7,6,1.1666666666666667
We should be proud to be Indonesian.,Kita kudu bangga dadi wong Indonesia.,7,6,1.1666666666666667
Maintain the unity and integrity of the nation.,Jaga persatuan lan kesatuan bangsa.,8,5,1.6
Unity in diversity.,Bhinneka Tunggal Ika.,3,3,1.0
Pancasila is the foundation of our country.,Pancasila iku dhasar negara kita.,7,5,1.4
Red and white is our flag.,Abang-putih gendera kita.,6,3,2.0
Garuda Pancasila is our national symbol.,Garuda Pancasila lambang negara kita.,6,5,1.2
Indonesia Raya is our national anthem.,Indonesia Raya lagu kebangsaan kita.,6,5,1.2
Love Indonesian products.,Cintailah produk-produk Indonesia.,3,3,1.0
Preserve regional culture.,Lestarikan budaya daerah.,3,3,1.0
Learn traditional dance.,Sinau tari tradisional.,3,3,1.0
Learn to play traditional musical instruments.,Sinau main alat musik tradisional.,6,5,1.2
Batik is a world cultural heritage.,Batik iku warisan budaya donya.,6,5,1.2
Wearing batik is cool.,Nganggo batik iku keren.,4,4,1.0
Indonesian food is delicious.,Masakan Indonesia iku enak-enak.,4,4,1.0
Rendang is the most delicious food in the world.,Rendang iku panganan paling enak ing donya.,9,7,1.2857142857142858
Satay and fried rice are also famous.,Sate lan nasi goreng uga misuwur.,7,6,1.1666666666666667
Jamu is a healthy traditional drink.,Jamu iku ombenan tradisional sing sehat.,6,6,1.0
Indonesian tourism is very beautiful.,Pariwisata Indonesia iku endah banget.,5,5,1.0
Bali is the island of the gods.,Bali iku pulo dewata.,7,4,1.75
Raja Ampat is heaven on earth.,Raja Ampat iku swarga ing donya.,6,6,1.0
Lake Toba is the largest volcanic lake.,Danau Toba iku danau vulkanik paling gedhe.,7,7,1.0
The Komodo dragon is a rare giant lizard.,Komodo iku kadal raksasa sing langka.,8,6,1.3333333333333333
We must protect Indonesia's nature.,Kita kudu njaga alam Indonesia.,5,5,1.0
Don't destroy the forests.,Aja ngrusak alas.,4,3,1.3333333333333333
Don't hunt protected animals.,Aja mburu kewan sing dilindhungi.,4,5,0.8
Plant trees for the future.,Tandur wit kanggo masa depan.,5,5,1.0
Save energy.,Hemat energi.,2,2,1.0
Turn off the lights when not in use.,Pateni lampu yen ora digunakake.,8,5,1.6
Turn off the water tap when you're done using it.,Pateni kran banyu yen wis ora digunakake.,10,7,1.4285714285714286
Reduce plastic waste.,Kurangi sampah plastik.,3,3,1.0
Bring your own shopping bag.,Gawa tas blanja dhewe.,5,4,1.25
Recycle recyclable waste.,Daur ulang sampah sing bisa didaur ulang.,3,7,0.42857142857142855
Sort organic and inorganic waste.,Pilah sampah organik lan anorganik.,5,5,1.0
This earth is our only home.,Bumi iki siji-sijine omah kita.,6,5,1.2
Let's take care of it together.,Ayo kita jaga bebarengan.,6,4,1.5
Start with yourself.,Mulai saka dhiri dhewe.,3,4,0.75
Start with small things.,Mulai saka sing cilik.,4,4,1.0
Start now.,Mulai saiki.,2,2,1.0
I love my family.,Aku tresna marang kulawargaku.,4,4,1.0
Family is number one.,Kulawarga iku nomer siji.,4,4,1.0
Time with family is very precious.,Wektu karo kulawarga iku aji banget.,6,6,1.0
Don't forget to call your parents.,Aja lali nelpon wong tuwa.,6,5,1.2
A parent's prayer is powerful.,Dungane wong tuwa iku mandi.,5,5,1.0
Be devoted to your parents.,Bakti marang wong tuwa.,5,4,1.25
I like playing with my younger sibling.,Aku seneng dolanan karo adhiku.,7,5,1.4
My older sibling likes to tease me.,Kakakku seneng nggodha aku.,7,4,1.75
My grandmother likes to tell fairy tales.,Simbahku seneng crita dongeng.,7,4,1.75
I learned to cook from my mother.,Aku sinau masak saka ibuku.,7,5,1.4
My father taught me how to ride a bicycle.,Bapakku ngajari aku numpak sepeda.,9,5,1.8
Childhood memories are beautiful.,Kenangan masa cilik iku endah.,4,5,0.8
School is a place to learn.,Sekolah iku panggonan kanggo sinau.,6,5,1.2
A teacher is an unsung hero.,Guru iku pahlawan tanpa tanda jasa.,6,6,1.0
Respect your teachers.,Hormati gurumu.,3,2,1.5
Listen to what the teachers teach.,Rungokna apa sing diwulangake guru.,6,5,1.2
Do your homework.,Garap PR-mu.,3,2,1.5
Don't like to cheat.,Aja seneng nyontek.,4,3,1.3333333333333333
Being honest is better.,Jujur iku luwih apik.,4,4,1.0
Exams are for measuring your ability.,Ujian iku kanggo ngukur kemampuanmu.,6,5,1.2
Group study can be helpful.,Sinau klompok iku bisa mbantu.,5,5,1.0
Discuss with your friends.,Diskusi karo kanca-kancamu.,4,3,1.3333333333333333
Don't be afraid to ask if you don't understand.,Aja wedi takon yen ora ngerti.,9,6,1.5
The library is a warehouse of knowledge.,Perpustakaan iku gudang ngilmu.,7,4,1.75
Enjoy reading books.,Seneng maca buku.,3,3,1.0
A book is a window to the world.,Buku iku jendela donya.,8,4,2.0
Technology can help with learning.,Teknologi iku bisa mbantu sinau.,5,5,1.0
Use the internet wisely.,Gunakake internet kanthi wicaksana.,4,4,1.0
Don't easily believe fake news.,Aja gampang percaya berita palsu.,5,5,1.0
Filter before sharing.,Saring sadurunge sharing.,3,3,1.0
Social media can connect friends.,Media sosial iku bisa nyambungake kanca.,5,6,0.8333333333333334
But it can also be dangerous.,Nanging uga bisa mbebayani.,6,4,1.5
Be careful when posting photos and statuses.,Ati-ati masang foto lan status.,7,5,1.4
Protect your privacy.,Jaga privasimu.,3,2,1.5
Don't become a victim of cyberbullying.,Aja nganti dadi korban cyberbullying.,6,5,1.2
"If you have a problem, talk to someone you trust.","Yen ana masalah, critaa marang wong sing kok percaya.",10,9,1.1111111111111112
Don't keep it to yourself.,Aja dipendhem dhewe.,5,3,1.6666666666666667
It's okay to ask for help.,Njaluk tulung iku ora apa-apa.,6,5,1.2
Every problem must have a solution.,Saben masalah mesthi ana dalan metune.,6,6,1.0
Stay enthusiastic and optimistic.,Tetep semangat lan optimis.,4,4,1.0
Life is a struggle.,Urip iku perjuangan.,4,3,1.3333333333333333
Enjoy every process.,Nikmati saben proses.,3,3,1.0
Don't forget to be happy.,Aja lali bahagia.,5,3,1.6666666666666667
Laughter is the best medicine.,Ngguyu iku obat paling apik.,5,5,1.0
Finding entertainment is necessary.,Nggolek hiburan iku perlu.,4,4,1.0
"Watch movies, hang out, or do a hobby.","Nonton film, dolan, utawa nindakake hobi.",8,6,1.3333333333333333
The important thing is balance.,Sing penting imbang.,5,3,1.6666666666666667
"Between work, study, and rest.","Antarane kerja, sinau, lan istirahat.",5,5,1.0
Take care of your mental health.,Jaga kesehatan mentalmu.,6,3,2.0
Meditation can calm the mind.,Meditasi bisa nenangake pikiran.,5,4,1.25
Talk to a psychologist if needed.,Crita karo psikolog yen perlu.,6,5,1.2
There's no need to be ashamed.,Ora usah isin.,6,3,2.0
Mental health is as important as physical health.,Kesehatan mental padha pentinge karo kesehatan fisik.,8,7,1.1428571428571428
I want to be a useful person.,Aku pengin dadi wong sing migunani.,7,6,1.1666666666666667
"Useful for my family, community, and country.","Migunani kanggo kulawarga, masyarakat, lan negara.",7,6,1.1666666666666667
I have a dream.,Aku duwe impen.,4,3,1.3333333333333333
I will work hard to achieve my dream.,Aku bakal kerja keras kanggo nggayuh impenku.,8,7,1.1428571428571428
May God grant it.,Muga-muga Gusti Allah ngijabahi.,4,4,1.0
Amen.,Amin.,1,1,1.0
I beg your pardon.,Kula nyuwun pangapunten.,4,3,1.3333333333333333
Please drink your coffee.,Mangga dipununjuk kopinipun.,4,3,1.3333333333333333
How much is a kilo of sugar?,Pinten reginipun sekilo gendis?,7,4,1.75
I want to buy two kilos of rice.,Kula badhe tumbas beras kalih kilo.,8,6,1.3333333333333333
Where is your house?,Griyanipun panjenengan wonten pundi?,4,4,1.0
What is your name?,Asmanipun sinten?,4,2,2.0
I am from Surabaya.,Kula saking Surabaya.,4,3,1.3333333333333333
Where are you going?,Panjenengan badhe tindak pundi?,4,4,1.0
I am going home first.,Kula badhe wangsul rumiyin.,5,4,1.25
"It's late, time to sleep.","Sampun dalu, wekdalipun sare.",5,4,1.25
Don't forget the five daily prayers.,Aja lali sholat limang wektu.,6,5,1.2
"Happy Eid, I apologize for all my mistakes.","Sugeng riyadi, ngaturaken sedaya kalepatan.",8,5,1.6
May Allah accept from us and from you.,Taqabbalallahu minna wa minkum.,8,4,2.0
May our fast be accepted.,Muga-muga pasa kita ditampa.,5,4,1.25
Let's visit one another.,Ayo padha silaturahmi.,4,3,1.3333333333333333
Ask for forgiveness and give forgiveness.,Njaluk ngapura lan menehi ngapura.,6,5,1.2
The heart becomes clean again.,Ati dadi resik maneh.,5,4,1.25
"New clothes, a new heart, a new spirit.","Klambi anyar, ati anyar, semangat anyar.",8,6,1.3333333333333333
Chicken opor and ketupat are Eid specialties.,Opor ayam lan ketupat iku khas lebaran.,7,7,1.0
Pineapple tarts and cheese cookies are also there.,Kue nastar lan kastengel uga ana.,8,6,1.3333333333333333
Red envelopes for the children.,Angpao kanggo bocah-bocah.,5,3,1.6666666666666667
Going home for the holidays is a fun tradition.,Mudik iku tradisi sing nyenengake.,9,5,1.8
Meeting relatives in the hometown.,Ketemu sanak kadang ing kampung halaman.,5,6,0.8333333333333334
But you have to be careful on the road.,Nanging kudu ati-ati ing dalan.,9,5,1.8
Obey traffic signs.,Patuhi rambu-rambu lalu lintas.,3,4,0.75
"If you're sleepy, take a rest first.","Yen ngantuk, istirahat dhisik.",7,4,1.75
Safety is number one.,Keselamatan nomer siji.,4,3,1.3333333333333333
Welcome to my home.,Sugeng rawuh ing griya kula.,4,5,0.8
Please have a seat.,Mangga pinarak.,4,2,2.0
Please have a drink.,Diunjuk unjukanipun.,4,2,2.0
Please have some food.,Didhahar dhaharanipun.,4,2,2.0
Don't be shy.,Aja isin-isin.,3,2,1.5
Make yourself at home.,Anggep wae omah dhewe.,4,4,1.0
Come visit again sometime.,Kapan-kapan dolan mrene maneh.,4,4,1.0
I'm happy that you came.,Aku seneng yen kowe teka.,5,5,1.0
My door is always open for you.,Lawang omahku tansah mbukak kanggo kowe.,7,6,1.1666666666666667
Thank you very much for coming.,Matur nuwun sanget sampun rawuh.,6,5,1.2
Be careful on the road.,Ati-ati ing dalan.,5,3,1.6666666666666667
Send my regards to your family at home.,Salam kanggo kulawarga ing omah.,8,5,1.6
May you arrive safely at your destination.,Muga-muga slamet tekan tujuan.,7,4,1.75
I'm going to take a shower first.,Aku arep adus dhisik.,7,4,1.75
My body is all sticky.,Awakku pliket kabeh.,5,3,1.6666666666666667
The water is cool and fresh.,Banyune adhem seger.,6,3,2.0
Using fragrant soap.,Nganggo sabun sing wangi.,3,4,0.75
Brushing my teeth to keep them clean.,Sikatan ben untune resik.,7,4,1.75
Washing my hair so it's not itchy.,Keramas ben rambute ora gatel.,7,5,1.4
"After a shower, the body feels fresh.","Sawise adus, awak dadi seger.",7,5,1.4
Wearing clean clothes.,Nganggo klambi sing resik.,3,4,0.75
Combing my hair to be neat.,Sisiran ben rapi.,6,3,2.0
Using a little perfume.,Nganggo minyak wangi sithik.,4,4,1.0
Ready to start the day.,Siap miwiti dina.,5,3,1.6666666666666667
Breakfast is important.,Sarapan iku penting.,3,3,1.0
Don't skip breakfast.,Aja nganti ora sarapan.,3,4,0.75
So that you have energy for activities.,Supaya duwe tenaga kanggo aktivitas.,7,5,1.4
Pecel rice for breakfast is delicious.,Sarapan sega pecel enak.,6,4,1.5
Or chicken porridge.,Utawa bubur ayam.,3,3,1.0
Toast is also an option.,Roti dibakar uga bisa.,5,4,1.25
Drink milk or warm tea.,Ngombe susu utawa teh anget.,5,5,1.0
"A full stomach, a happy heart.","Perut kenyang, ati seneng.",6,4,1.5
"Enthusiasm for work, enthusiasm for study.","Semangat kerja, semangat sinau.",6,4,1.5
Don't forget to bring a packed lunch.,Aja lali nggawa bekal.,7,4,1.75
Home-cooked food is healthier.,Masakan omah luwih sehat.,4,4,1.0
And more economical.,Lan luwih hemat.,3,3,1.0
Feeling sleepy in the afternoon.,Siang-siang ngantuk.,5,2,2.5
Drink coffee to stay awake.,Ngombe kopi ben melek.,5,4,1.25
But not too much.,Nanging aja kakehan.,4,3,1.3333333333333333
It can interfere with sleep at night.,Bisa ngganggu turu ing wengi.,7,5,1.4
Snack on biscuits or fruits.,Ngemil biskuit utawa woh-wohan.,5,4,1.25
Stretch your body for a moment.,Renggangake awak sedhela.,6,3,2.0
Walk around the office.,Mlaku-mlaku ing sekitar kantor.,4,4,1.0
So you don't get stiff.,Supaya ora kaku.,5,3,1.6666666666666667
"In the afternoon, it's time to go home.",Sore-sore wektune mulih.,8,3,2.6666666666666665
Be careful on the road.,Ati-ati ing dalan.,5,3,1.6666666666666667
Traffic jams are normal.,Macet iku wis biasa.,4,4,1.0
Just be patient.,Sabar wae.,3,2,1.5
Play music so you don't get bored.,Setel musik ben ora bosen.,7,5,1.4
"Arriving home, immediately clean up.","Tekan omah, langsung resik-resik.",5,4,1.25
Change clothes.,Ganti klambi.,2,2,1.0
Wash hands and feet.,Wisuh tangan lan sikil.,4,4,1.0
Sit back and relax in a chair.,Lungguh santai ing kursi.,7,4,1.75
Watch TV or read the news.,Nonton TV utawa maca berita.,6,5,1.2
Chat with family.,Ngobrol karo kulawarga.,3,3,1.0
Tell them what you experienced throughout the day.,Ndhongengake apa sing dialami sedina muput.,8,6,1.3333333333333333
Have dinner together.,Makan malam bebarengan.,3,3,1.0
The most enjoyable time.,Wektu sing paling nyenengake.,4,4,1.0
"After dinner, watch a movie.","Sawise makan malam, nonton film.",5,5,1.0
Or play a game.,Utawa dolanan game.,4,3,1.3333333333333333
You can also read a book before bed.,Bisa uga maca buku sadurunge turu.,8,6,1.3333333333333333
Nine o'clock is bedtime.,Jam sanga wektune turu.,4,4,1.0
Don't sleep too late.,Aja turu kewengen.,4,3,1.3333333333333333
So you can wake up early tomorrow.,Supaya sesuk bisa tangi esuk.,7,5,1.4
Sweet dreams.,Mimpi sing endah.,2,3,0.6666666666666666
Have a good rest.,Sugeng istirahat.,4,2,2.0
The market is very crowded.,Pasar iku rame banget.,5,4,1.25
There are sellers and buyers.,Ana bakul lan wong tuku.,5,5,1.0
Bargaining is common.,Tawar-menawar iku biasa.,3,3,1.0
"Vegetable sellers, fish sellers, fruit sellers.","Bakul sayur, bakul iwak, bakul woh.",6,6,1.0
Everything is at the market.,Kabeh ana ing pasar.,5,4,1.25
The prices are cheaper than in the supermarket.,Regane luwih murah tinimbang ing supermarket.,8,6,1.3333333333333333
But you have to be smart in choosing.,Nanging kudu pinter milih.,8,4,2.0
Choose the fresh ones.,Pilih sing isih seger.,4,4,1.0
I like the atmosphere of a traditional market.,Aku seneng swasana pasar tradisional.,8,5,1.6
Unique and distinctive.,Unik lan khas.,3,3,1.0
